nameOfIssuer^titleOfClass^cusip^value^investmentDiscretion^otherManager^putCall^sshPrnamt^sshPrnamtType^votingSole^votingShared^votingNone^companyName^companyCIK^reportDate^filingDate
ZYNGA INC^CL A^98986T108^6609^SOLE^^^1239972^SH^1239972^0^0^KCL Capital, L.P. ^0001722967^2019-03-31^2019-06-05
STMICROELECTRONICS N V^NY REGISTRY^861012102^15872^SOLE^^^1068851^SH^1068851^0^0^KCL Capital, L.P. ^0001722967^2019-03-31^2019-06-05
SNAP ON INC^COM^833034101^10366^SOLE^^^940657^SH^940657^0^0^KCL Capital, L.P. ^0001722967^2019-03-31^2019-06-05
LATTICE SEMICONDUCTOR CORP^COM^518415104^9170^SOLE^^^768616^SH^768616^0^0^KCL Capital, L.P. ^0001722967^2019-03-31^2019-06-05
MARVELL TECHNOLOGY GROUP LTD^ORD^G5876H105^14461^SOLE^^^727062^SH^727062^0^0^KCL Capital, L.P. ^0001722967^2019-03-31^2019-06-05
WESTERN DIGITAL CORP^COM^958102105^28784^SOLE^^^598923^SH^598923^0^0^KCL Capital, L.P. ^0001722967^2019-03-31^2019-06-05
ADVANCED MICRO DEVICES INC^COM^007903107^14185^SOLE^^^555832^SH^555832^0^0^KCL Capital, L.P. ^0001722967^2019-03-31^2019-06-05
COMCAST CORP NEW^CL A^20030N101^20512^SOLE^^^513068^SH^513068^0^0^KCL Capital, L.P. ^0001722967^2019-03-31^2019-06-05
APPLIED MATLS INC^COM^038222105^11870^SOLE^^^299295^SH^299295^0^0^KCL Capital, L.P. ^0001722967^2019-03-31^2019-06-05
TWITTER INC^COM^90184L102^7731^SOLE^^^235126^SH^235126^0^0^KCL Capital, L.P. ^0001722967^2019-03-31^2019-06-05
WORLD WRESTLING ENTMT INC^CL A^98156Q108^19662^SOLE^^^226577^SH^226577^0^0^KCL Capital, L.P. ^0001722967^2019-03-31^2019-06-05
MICRON TECHNOLOGY INC^COM^595112103^8834^SOLE^^^213750^SH^213750^0^0^KCL Capital, L.P. ^0001722967^2019-03-31^2019-06-05
